order,prime,delta_coeffs,rho,euc_success,dh_success,rescue,best_euc_norm,best_dh_norm,alpha_coeffs,beta_coeffs,alpha_norm_sq
H17,2,"(-1, -1, 2, 1)","(0,-1/4,1/2,1/4)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(1, 1, -2, -2)",12
H17,2,"(-1, 0, -1, -1)","(-3/4,-1/4,-1/4,-1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(0, 1, 2, 2)",16
H17,2,"(-1, 0, -1, 0)","(-3/4,0,-1/4,0)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(1, 1, 2, 2)",20
H17,2,"(-1, 0, -1, 1)","(-3/4,1/4,-1/4,1/4)",1,1,0,1/4,7/8,"(-2, -2, -1, -2)","(1, 0, 2, 2)",16
H17,2,"(-1, 0, 0, -2)","(-1/2,-1/2,0,-1/2)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(0, 2, -1, 2)",20
H17,2,"(-1, 0, 0, -1)","(-1/2,-1/4,0,-1/4)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(0, 1, 0, 2)",20
H17,2,"(-1, 0, 0, 0)","(-1/2,0,0,0)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(0, 1, 2, 1)",20
H17,2,"(-1, 0, 0, 1)","(-1/2,1/4,0,1/4)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(1, 0, 2, 0)",20
H17,2,"(-1, 0, 0, 2)","(-1/2,1/2,0,1/2)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(2, 0, 2, -1)",20
H17,2,"(-1, 0, 1, -2)","(-1/4,-1/2,1/4,-1/2)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(0, 2, -2, 1)",20
H17,2,"(-1, 0, 1, -1)","(-1/4,-1/4,1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(0, 2, -1, 0)",20
H17,2,"(-1, 0, 1, 0)","(-1/4,0,1/4,0)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(1, 1, -1, -1)",20
H17,2,"(-1, 0, 1, 1)","(-1/4,1/4,1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(1, 1, 1, -2)",20
H17,2,"(-1, 0, 1, 2)","(-1/4,1/2,1/4,1/2)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(2, 0, 1, -2)",20
H17,2,"(-1, 0, 2, -2)","(0,-1/2,1/2,-1/2)",1,1,0,1/4,7/8,"(-2, -2, 1, -2)","(-1, 1, -2, -1)",12
H17,2,"(-1, 0, 2, -1)","(0,-1/4,1/2,-1/4)",1,1,0,3/8,11/16,"(-2, -2, -1, -2)","(0, 2, -2, -2)",16
H17,2,"(-1, 0, 2, 1)","(0,1/4,1/2,1/4)",1,1,0,3/8,11/16,"(-2, -2, -2, -1)","(2, 0, -2, -2)",16
H17,2,"(-1, 0, 2, 2)","(0,1/2,1/2,1/2)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(1, -1, -1, -2)",12
H17,2,"(-1, 1, -1, -2)","(-3/4,0,-1/4,-1/2)",1,1,0,3/8,15/16,"(-2, -2, -2, 1)","(1, 0, 2, 2)",12
H17,2,"(-1, 1, -1, -1)","(-3/4,1/4,-1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, 0)","(1, 0, 2, 2)",14
H17,2,"(-1, 1, -1, 0)","(-3/4,1/2,-1/4,0)",1,1,0,3/8,7/16,"(-2, -2, -2, -1)","(2, -1, 2, 2)",16
H17,2,"(-1, 1, 0, -2)","(-1/2,0,0,-1/2)",1,1,0,1/2,3/4,"(-2, -2, -2, -1)","(2, 1, -2, 2)",16
H17,2,"(-1, 1, 0, -1)","(-1/2,1/4,0,-1/4)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(2, 0, -1, 2)",20
H17,2,"(-1, 1, 0, 0)","(-1/2,1/2,0,0)",1,1,0,1/2,1/2,"(-2, -2, -2, -2)","(2, -1, 1, 2)",20
H17,2,"(-1, 1, 0, 1)","(-1/2,3/4,0,1/4)",1,1,0,3/8,15/16,"(-2, -2, -2, -1)","(2, -2, 2, 0)",16
H17,2,"(-1, 1, 1, -2)","(-1/4,0,1/4,-1/2)",1,1,0,3/8,11/16,"(-2, -2, -2, -1)","(2, 0, -2, 2)",16
H17,2,"(-1, 1, 1, -1)","(-1/4,1/4,1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(2, 0, -2, 1)",20
H17,2,"(-1, 1, 1, 0)","(-1/4,1/2,1/4,0)",1,1,0,3/8,11/16,"(-2, -2, -2, -1)","(2, -1, -1, 0)",16
H17,2,"(-1, 1, 1, 1)","(-1/4,3/4,1/4,1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(2, -1, 1, -1)",16
H17,2,"(-1, 1, 2, -1)","(0,1/4,1/2,-1/4)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(2, -1, -2, 0)",12
H17,2,"(-1, 1, 2, 0)","(0,1/2,1/2,0)",1,1,0,1/2,1/2,"(-2, -2, -2, 0)","(2, -1, -2, -1)",14
H17,2,"(-1, 1, 2, 1)","(0,3/4,1/2,1/4)",1,1,0,3/8,3/4,"(-2, -2, -2, 0)","(2, -2, -1, -2)",14
H17,2,"(-1, 2, 0, -2)","(-1/2,1/2,0,-1/2)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(2, -1, 0, 2)",12
H17,2,"(-1, 2, 0, -1)","(-1/2,3/4,0,-1/4)",1,1,0,3/8,3/4,"(-2, -2, -2, 0)","(2, -2, 1, 2)",14
H17,2,"(-1, 2, 1, -2)","(-1/4,1/2,1/4,-1/2)",1,1,0,1/8,13/16,"(-2, -2, -2, 1)","(2, -2, -1, 2)",12
H17,2,"(-1, 2, 1, -1)","(-1/4,3/4,1/4,-1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(2, -2, -1, 1)",12
H17,2,"(-1, 2, 2, -2)","(0,1/2,1/2,-1/2)",1,1,0,1/4,3/4,"(-2, -2, -1, 1)","(2, -2, -2, 1)",9
H17,2,"(-1, 2, 2, -1)","(0,3/4,1/2,-1/4)",1,1,0,3/8,3/8,"(-2, -2, -1, 1)","(2, -2, -2, 0)",9
H17,2,"(0, -2, -1, 1)","(-1/4,-3/4,-1/4,1/4)",1,1,0,1/4,3/4,"(-2, -2, -1, -1)","(-2, 2, 2, 0)",13
H17,2,"(0, -2, -1, 2)","(-1/4,-1/2,-1/4,1/2)",1,1,0,1/8,5/8,"(-2, -2, -1, 1)","(-2, 2, 2, -2)",9
H17,2,"(0, -2, 0, 1)","(0,-3/4,0,1/4)",1,1,0,1/8,7/8,"(-2, -2, -1, -1)","(-2, 2, 1, -2)",13
H17,2,"(0, -2, 0, 2)","(0,-1/2,0,1/2)",1,1,0,0,1/2,"(-2, -2, -1, -1)","(-2, 2, 2, -2)",13
H17,2,"(0, -2, 1, 1)","(1/4,-3/4,1/4,1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(-1, 2, -2, -2)",12
H17,2,"(0, -2, 1, 2)","(1/4,-1/2,1/4,1/2)",1,1,0,1/8,7/8,"(-2, -2, -1, 1)","(-1, 1, -1, -2)",9
H17,2,"(0, -1, -2, 0)","(-1/2,-1/2,-1/2,0)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(-1, 2, 2, 0)",12
H17,2,"(0, -1, -2, 1)","(-1/2,-1/4,-1/2,1/4)",1,1,0,1/8,7/8,"(-2, -2, -1, 1)","(-1, 2, 2, -1)",9
H17,2,"(0, -1, -2, 2)","(-1/2,0,-1/2,1/2)",1,1,0,1/4,7/8,"(-2, -2, 0, 1)","(0, 1, 2, -1)",6
H17,2,"(0, -1, -1, -1)","(-1/4,-3/4,-1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-2, 2, 1, 2)",20
H17,2,"(0, -1, -1, 0)","(-1/4,-1/2,-1/4,0)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(-2, 1, 2, 1)",20
H17,2,"(0, -1, -1, 1)","(-1/4,-1/4,-1/4,1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(-1, 1, 2, -1)",16
H17,2,"(0, -1, -1, 2)","(-1/4,0,-1/4,1/2)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(-1, 1, 2, -2)",12
H17,2,"(0, -1, 0, -1)","(0,-3/4,0,-1/4)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(-2, 2, -1, 0)",20
H17,2,"(0, -1, 0, 0)","(0,-1/2,0,0)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-2, 1, 1, 0)",20
H17,2,"(0, -1, 0, 1)","(0,-1/4,0,1/4)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(-2, 1, 2, -2)",20
H17,2,"(0, -1, 1, -1)","(1/4,-3/4,1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-2, 2, -2, -1)",20
H17,2,"(0, -1, 1, 0)","(1/4,-1/2,1/4,0)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(-2, 2, -1, -2)",20
H17,2,"(0, -1, 1, 1)","(1/4,-1/4,1/4,1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(-1, 1, -1, -2)",16
H17,2,"(0, -1, 1, 2)","(1/4,0,1/4,1/2)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(-1, 0, 0, -2)",12
H17,2,"(0, -1, 2, 0)","(1/2,-1/2,1/2,0)",1,1,0,1/4,3/4,"(-2, -2, -1, -1)","(-1, 1, -2, -2)",13
H17,2,"(0, -1, 2, 1)","(1/2,-1/4,1/2,1/4)",1,1,0,1/8,5/8,"(-2, -2, -1, 1)","(-1, 0, -2, -2)",9
H17,2,"(0, -1, 2, 2)","(1/2,0,1/2,1/2)",1,1,0,1/4,3/4,"(-2, -2, -1, 1)","(-1, 0, -1, -2)",9
H17,2,"(0, 0, -2, -1)","(-1/2,-1/4,-1/2,-1/4)",1,1,0,1/8,3/4,"(-2, -2, -2, 0)","(-1, 1, 2, 2)",14
H17,2,"(0, 0, -2, 0)","(-1/2,0,-1/2,0)",1,1,0,0,1/2,"(-2, -2, -1, -1)","(0, 0, 2, 2)",13
H17,2,"(0, 0, -2, 1)","(-1/2,1/4,-1/2,1/4)",1,1,0,1/8,3/4,"(-2, -2, 0, -2)","(1, -1, 2, 2)",14
H17,2,"(0, 0, -1, -2)","(-1/4,-1/2,-1/4,-1/2)",1,1,0,1/8,13/16,"(-2, -2, -2, -1)","(-1, 1, 0, 2)",16
H17,2,"(0, 0, -1, -1)","(-1/4,-1/4,-1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-1, 0, 1, 2)",20
H17,2,"(0, 0, -1, 0)","(-1/4,0,-1/4,0)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(-1, -1, 2, 2)",20
H17,2,"(0, 0, -1, 1)","(-1/4,1/4,-1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(0, -1, 2, 1)",20
H17,2,"(0, 0, -1, 2)","(-1/4,1/2,-1/4,1/2)",1,1,0,1/8,13/16,"(-2, -2, -1, -2)","(1, -1, 2, 0)",16
H17,2,"(0, 0, 0, -2)","(0,-1/2,0,-1/2)",1,1,0,0,1/2,"(-2, -2, -2, -2)","(-2, 1, -1, 2)",20
H17,2,"(0, 0, 0, -1)","(0,-1/4,0,-1/4)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(-1, 0, -1, 1)",20
H17,2,"(0, 0, 0, 1)","(0,1/4,0,1/4)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(0, -1, 1, -1)",20
H17,2,"(0, 0, 0, 2)","(0,1/2,0,1/2)",1,1,0,0,1/2,"(-2, -2, -2, -2)","(1, -2, 2, -1)",20
H17,2,"(0, 0, 1, -2)","(1/4,-1/2,1/4,-1/2)",1,1,0,1/8,13/16,"(-2, -2, -1, -2)","(-2, 1, -2, 0)",16
H17,2,"(0, 0, 1, -1)","(1/4,-1/4,1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-1, 1, -2, -1)",20
H17,2,"(0, 0, 1, 0)","(1/4,0,1/4,0)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(0, 0, -2, -2)",20
H17,2,"(0, 0, 1, 1)","(1/4,1/4,1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(1, -1, -1, -2)",20
H17,2,"(0, 0, 1, 2)","(1/4,1/2,1/4,1/2)",1,1,0,1/8,13/16,"(-2, -2, -2, -1)","(1, -2, 0, -2)",16
H17,2,"(0, 0, 2, -1)","(1/2,-1/4,1/2,-1/4)",1,1,0,1/8,3/4,"(-2, -2, 0, -2)","(-1, 0, -2, -2)",14
H17,2,"(0, 0, 2, 0)","(1/2,0,1/2,0)",1,1,0,0,1/2,"(-2, -2, -1, -1)","(0, 0, -2, -2)",13
H17,2,"(0, 0, 2, 1)","(1/2,1/4,1/2,1/4)",1,1,0,1/8,3/4,"(-2, -2, -2, 0)","(0, -1, -2, -2)",14
H17,2,"(0, 1, -2, -2)","(-1/2,0,-1/2,-1/2)",1,1,0,1/4,3/4,"(-2, -2, -1, 1)","(0, 0, 2, 2)",9
H17,2,"(0, 1, -2, -1)","(-1/2,1/4,-1/2,-1/4)",1,1,0,1/8,5/8,"(-2, -2, -1, 1)","(0, -1, 2, 2)",9
H17,2,"(0, 1, -2, 0)","(-1/2,1/2,-1/2,0)",1,1,0,1/4,3/4,"(-2, -2, -1, -1)","(1, -1, 2, 2)",13
H17,2,"(0, 1, -1, -2)","(-1/4,0,-1/4,-1/2)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(0, 0, 1, 2)",12
H17,2,"(0, 1, -1, -1)","(-1/4,1/4,-1/4,-1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(0, -1, 1, 2)",16
H17,2,"(0, 1, -1, 0)","(-1/4,1/2,-1/4,0)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(1, -2, 1, 2)",20
H17,2,"(0, 1, -1, 1)","(-1/4,3/4,-1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(2, -2, 2, 1)",20
H17,2,"(0, 1, 0, -1)","(0,1/4,0,-1/4)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(1, -2, -2, 2)",20
H17,2,"(0, 1, 0, 0)","(0,1/2,0,0)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(1, -2, 0, 1)",20
H17,2,"(0, 1, 0, 1)","(0,3/4,0,1/4)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(2, -2, 0, -1)",20
H17,2,"(0, 1, 1, -2)","(1/4,0,1/4,-1/2)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(1, -1, -2, 2)",12
H17,2,"(0, 1, 1, -1)","(1/4,1/4,1/4,-1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(1, -2, -2, 1)",16
H17,2,"(0, 1, 1, 0)","(1/4,1/2,1/4,0)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(2, -2, -2, -1)",20
H17,2,"(0, 1, 1, 1)","(1/4,3/4,1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(2, -2, -1, -2)",20
H17,2,"(0, 1, 2, -2)","(1/2,0,1/2,-1/2)",1,1,0,1/4,7/8,"(-2, -2, 0, 1)","(0, -2, -2, 1)",6
H17,2,"(0, 1, 2, -1)","(1/2,1/4,1/2,-1/4)",1,1,0,1/8,7/8,"(-2, -2, -1, 1)","(0, -2, -2, 1)",9
H17,2,"(0, 1, 2, 0)","(1/2,1/2,1/2,0)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(1, -2, -2, -1)",12
H17,2,"(0, 2, -1, -2)","(-1/4,1/2,-1/4,-1/2)",1,1,0,1/8,7/8,"(-2, -2, -1, 1)","(1, -2, 1, 2)",9
H17,2,"(0, 2, -1, -1)","(-1/4,3/4,-1/4,-1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(1, -2, 2, 2)",12
H17,2,"(0, 2, 0, -2)","(0,1/2,0,-1/2)",1,1,0,0,1/2,"(-2, -2, -1, -1)","(2, -2, -2, 2)",13
H17,2,"(0, 2, 0, -1)","(0,3/4,0,-1/4)",1,1,0,1/8,7/8,"(-2, -2, -1, -1)","(2, -2, -2, 1)",13
H17,2,"(0, 2, 1, -2)","(1/4,1/2,1/4,-1/2)",1,1,0,1/8,7/8,"(-2, -2, -1, 1)","(1, -2, -2, 1)",9
H17,2,"(0, 2, 1, -1)","(1/4,3/4,1/4,-1/4)",1,1,0,1/4,3/4,"(-2, -2, -1, -1)","(2, -2, -2, 0)",13
H17,2,"(1, -2, -2, 1)","(0,-3/4,-1/2,1/4)",1,1,0,3/8,7/8,"(-2, -2, -1, 1)","(-2, 2, 1, -1)",9
H17,2,"(1, -2, -2, 2)","(0,-1/2,-1/2,1/2)",1,1,0,1/4,3/4,"(-2, -2, -1, 1)","(-2, 2, 2, -2)",9
H17,2,"(1, -2, -1, 1)","(1/4,-3/4,-1/4,1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(-2, 2, 0, -2)",12
H17,2,"(1, -2, -1, 2)","(1/4,-1/2,-1/4,1/2)",1,1,0,1/8,13/16,"(-2, -2, -2, 1)","(-2, 2, 1, -2)",12
H17,2,"(1, -2, 0, 1)","(1/2,-3/4,0,1/4)",1,1,0,3/8,3/4,"(-2, -2, -2, 0)","(-2, 2, -1, -2)",14
H17,2,"(1, -2, 0, 2)","(1/2,-1/2,0,1/2)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(-2, 1, -1, -2)",12
H17,2,"(1, -1, -2, -1)","(0,-3/4,-1/2,-1/4)",1,1,0,3/8,3/4,"(-2, -2, -2, 0)","(-2, 1, 1, 2)",14
H17,2,"(1, -1, -2, 0)","(0,-1/2,-1/2,0)",1,1,0,1/2,1/2,"(-2, -2, -2, 0)","(-2, 1, 2, 1)",14
H17,2,"(1, -1, -2, 1)","(0,-1/4,-1/2,1/4)",1,1,0,3/8,11/16,"(-2, -2, -2, 1)","(-2, 1, 2, -1)",12
H17,2,"(1, -1, -1, -1)","(1/4,-3/4,-1/4,-1/4)",1,1,0,1/4,7/8,"(-2, -2, -2, -1)","(-2, 1, -1, 1)",16
H17,2,"(1, -1, -1, 0)","(1/4,-1/2,-1/4,0)",1,1,0,3/8,15/16,"(-2, -2, -2, -1)","(-2, 0, 0, 1)",16
H17,2,"(1, -1, -1, 1)","(1/4,-1/4,-1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-2, 0, 2, -1)",20
H17,2,"(1, -1, -1, 2)","(1/4,0,-1/4,1/2)",1,1,0,3/8,15/16,"(-2, -2, -2, -1)","(-2, -1, 2, -1)",16
H17,2,"(1, -1, 0, -1)","(1/2,-3/4,0,-1/4)",1,1,0,3/8,15/16,"(-2, -2, -2, -1)","(-2, 1, -2, -1)",16
H17,2,"(1, -1, 0, 0)","(1/2,-1/2,0,0)",1,1,0,1/2,1/2,"(-2, -2, -2, -2)","(-2, 1, -1, -2)",20
H17,2,"(1, -1, 0, 1)","(1/2,-1/4,0,1/4)",1,1,0,3/8,1/2,"(-2, -2, -2, -2)","(-2, 0, 0, -2)",20
H17,2,"(1, -1, 0, 2)","(1/2,0,0,1/2)",1,1,0,1/2,3/4,"(-2, -2, -2, -1)","(-2, -1, 1, -2)",16
H17,2,"(1, -1, 1, 0)","(3/4,-1/2,1/4,0)",1,1,0,3/8,15/16,"(-2, -2, -2, -1)","(-2, 0, -2, -2)",16
H17,2,"(1, -1, 1, 1)","(3/4,-1/4,1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, 0)","(-2, 0, -2, -2)",14
H17,2,"(1, -1, 1, 2)","(3/4,0,1/4,1/2)",1,1,0,3/8,15/16,"(-2, -2, -2, 1)","(-2, -1, -2, -2)",12
H17,2,"(1, 0, -2, -2)","(0,-1/2,-1/2,-1/2)",1,1,0,1/4,7/8,"(-2, -2, -2, 1)","(-2, 1, 1, 2)",12
H17,2,"(1, 0, -2, -1)","(0,-1/4,-1/2,-1/4)",1,1,0,3/8,15/16,"(-2, -2, -2, -1)","(-2, 0, 1, 2)",16
H17,2,"(1, 0, -2, 1)","(0,1/4,-1/2,1/4)",1,1,0,3/8,15/16,"(-2, -2, -1, -2)","(0, -2, 2, 1)",16
H17,2,"(1, 0, -2, 2)","(0,1/2,-1/2,1/2)",1,1,0,1/4,7/8,"(-2, -2, 1, -2)","(1, -2, 2, 1)",12
H17,2,"(1, 0, -1, -2)","(1/4,-1/2,-1/4,-1/2)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(-2, 0, -2, 2)",20
H17,2,"(1, 0, -1, -1)","(1/4,-1/4,-1/4,-1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-2, -1, -1, 2)",20
H17,2,"(1, 0, -1, 0)","(1/4,0,-1/4,0)",1,1,0,1/8,1/2,"(-2, -2, -2, -2)","(-2, -2, 1, 1)",20
H17,2,"(1, 0, -1, 1)","(1/4,1/4,-1/4,1/4)",1,1,0,1/4,1/2,"(-2, -2, -2, -2)","(-1, -2, 1, 0)",20
